gene	C100	C141	C142	C143	C144	C145	C146	C148	C149	C152	C51	C52
AL139254.3	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	15	35	28	107	1	29	5	17	93	77	4	0
MUL1	450	792	711	1312	41	478	97	279	141	304	368	177
FAM43B	0	0	0	0	0	0	0	0	0	0	0	0
CDA	397	58	109	1822	3	394	38	388	106	99	118	182
PINK1	717	561	757	753	35	394	82	228	149	134	678	323
PINK1-AS	15	25	14	39	0	16	7	15	3	21	15	5
DDOST	1785	6569	6955	9913	280	2593	400	2435	1199	3871	1879	1014
KIF17	39	192	167	38	5	34	32	18	7	12	24	1
SH2D5	0	0	0	7	0	0	2	0	0	4	0	0
AL663074.1	0	0	0	1	0	0	1	0	0	0	0	0
HP1BP3	4260	6398	5816	10800	281	3974	538	1288	942	2138	3665	2218
EIF4G3	856	1475	1452	3937	65	1911	271	758	265	427	530	301
ECE1	34	723	572	2851	60	1162	179	1020	429	624	50	22
AL031005.1	1	3	10	6	0	16	11	8	1	1	0	0
AL031728.1	0	8	7	46	2	5	7	6	5	17	0	0
AL592309.2	0	0	0	0	0	0	0	0	0	0	0	0
NBPF3	2	37	174	25	6	42	6	41	23	42	22	42
ALPL	1	100	29	399	7	167	113	1080	380	205	0	0
AL359815.1	0	0	0	2	0	1	2	1	0	0	0	0
RAP1GAP	1	7	9	10	1	21	1	22	8	14	0	0
USP48	889	1530	1425	3193	82	1092	128	528	395	1804	523	364
LDLRAD2	1	1	2	2	2	4	0	5	2	12	0	0
HSPG2	4	38	27	169	2	64	65	237	136	79	3	0
CELA3B	0	0	0	0	0	2	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0
LINC01635	10	5	12	20	0	5	1	6	9	19	17	8
CDC42	20360	18145	14940	34533	551	14403	1435	4463	3684	5115	26286	10336
AL031281.2	6	1	1	26	1	8	0	1	0	3	3	1
WNT4	0	11	7	25	0	29	5	35	9	4	0	0
ZBTB40	230	537	487	766	27	418	121	148	116	126	197	103
EPHA8	0	1	0	2	0	0	1	1	0	0	0	0
C1QA	126188	196715	243685	67643	4577	43158	7725	10550	9789	7490	218836	95472
C1QC	19821	321281	265302	72123	10098	73390	8727	17575	14663	7786	63743	21661
C1QB	100366	282449	312143	87515	7755	74779	6912	14795	5740	9460	259128	122172
EPHB2	77	121	282	1760	25	1451	94	286	310	146	15	7
AL512444.1	0	0	0	0	0	0	0	0	0	0	0	0
LACTBL1	0	0	0	0	0	0	0	0	0	0	0	0
TEX46	1	3	8	3	0	3	1	1	0	0	4	1
KDM1A	652	1073	1084	959	33	516	54	306	122	465	499	279
AL031428.1	0	1	0	0	0	0	0	0	0	0	0	0
LUZP1	663	1541	1460	2127	65	638	117	369	192	267	979	559
HTR1D	0	1	0	0	0	1	3	0	0	1	0	0
LINC01355	175	91	89	69	6	29	13	7	7	60	129	87
AL109936.6	2	2	0	0	0	0	1	1	1	0	4	2
HNRNPR	3273	4889	4611	11026	212	3303	382	1385	847	2620	2347	1400
ZNF436	97	182	169	243	10	84	28	88	37	35	68	51
ZNF436-AS1	50	88	84	39	5	28	14	9	11	32	92	50
AL109936.2	6	1	4	0	0	2	0	3	0	0	2	6
TCEA3	377	3602	2747	330	91	169	25	678	154	122	562	693
ASAP3	3	30	17	54	7	34	20	112	32	21	6	5
E2F2	9	30	12	395	9	59	10	46	25	445	21	6
AL021154.1	0	1	0	0	0	0	0	0	0	1	2	0
ID3	531	2719	3154	2076	67	583	229	623	514	174	1252	626
MDS2	1	7	12	19	1	19	1	2	4	2	1	0
RPL11	82415	122991	103524	212262	5749	78476	7409	39466	24490	52524	138996	92828
ELOA	724	1226	1143	2321	60	982	138	401	324	362	791	407
ELOA-AS1	102	220	235	176	10	65	34	32	27	80	120	91
PITHD1	1020	1998	1612	3271	94	1284	262	749	615	707	1038	537
LYPLA2	905	2610	2143	5098	114	1579	232	1078	772	1018	715	279
GALE	377	918	955	1435	52	674	95	696	430	490	566	239
HMGCL	921	1688	1559	1975	64	792	183	222	274	354	1255	586
FUCA1	3991	3711	4012	1811	154	862	113	722	412	430	2336	1910
CNR2	4	16	6	2	1	3	2	0	3	3	1	3
AL590609.3	0	0	0	0	0	0	0	0	0	0	0	0
PNRC2	1934	7292	5257	10828	278	4409	720	1782	1141	1572	1850	1030
SRSF10	2268	4237	3592	9251	254	3925	554	1323	890	2730	1845	925
AL591178.1	0	0	0	0	0	0	0	0	0	0	0	0
MYOM3	0	1	0	1	0	0	1	1	0	1	0	0
AL591178.2	0	0	0	0	0	0	0	0	0	0	0	0
IL22RA1	1	15	6	23	0	3	2	11	29	2	1	0
IFNLR1	305	437	515	345	16	175	47	90	76	105	233	149
AL590683.1	68	1	32	1	0	1	0	1	0	1	10	3
AL138902.1	0	2	0	0	0	1	1	0	0	0	0	0
GRHL3	7	2	4	79	0	8	30	127	155	70	0	0
STPG1	161	338	405	287	11	179	58	115	94	110	249	144
NIPAL3	358	554	615	768	32	227	29	208	142	305	310	174
RCAN3	775	1084	1063	2157	68	910	79	446	446	467	736	271
AL445686.2	20	38	22	42	0	32	2	8	9	19	62	52
NCMAP	0	13	6	18	2	16	2	34	21	27	0	2
SRRM1	5286	9367	8169	18218	397	8111	745	2847	1881	3259	6488	4689
AL445648.1	0	0	0	0	0	0	0	0	0	0	0	0
CLIC4	2812	3968	4640	7300	146	2481	382	778	448	1306	2629	1236
RUNX3	589	1979	1648	6448	245	1552	223	479	571	1251	159	63
AL445471.1	0	14	20	14	3	7	2	2	16	13	0	0
AL445471.2	0	1	3	3	3	17	0	0	2	55	0	0
AL050344.1	0	4	0	2	2	0	0	0	0	0	1	0
AL031432.1	0	0	0	1	0	0	1	0	0	0	1	0
SYF2	4043	6209	5687	10278	282	5259	715	1264	1177	1573	6761	4343
AL031432.5	3	9	9	20	0	7	3	3	5	11	4	2
RSRP1	5096	6471	5989	11162	440	3943	1306	1075	1507	1671	3189	2033
AL031432.3	6	7	5	41	0	12	1	3	12	16	2	1
RHD	5	0	1	6	0	4	1	0	5	4	1	0
TMEM50A	7790	13828	13589	41985	737	15684	1422	4334	4358	4905	7658	3669
RHCE	4	7	30	39	0	8	2	9	4	9	5	1
MACO1	547	1011	959	1347	50	713	86	477	265	515	422	241
LDLRAP1	275	455	537	541	25	230	51	306	270	319	255	96
AL606491.1	8	9	7	7	1	4	1	4	3	10	19	3
MAN1C1	253	213	219	202	27	133	10	66	50	30	159	92
AL031280.1	46	4	0	5	0	1	0	1	1	0	29	6
SELENON	1599	904	1644	1918	42	935	70	589	203	139	1271	417
AL020996.2	0	0	0	0	0	0	0	0	0	0	0	0
AL020996.1	22	28	38	25	1	12	2	6	5	5	18	8
MTFR1L	473	839	736	1047	43	476	75	305	169	257	377	201
AL020996.3	0	0	0	0	0	0	0	0	0	0	0	0
AUNIP	5	4	5	55	0	11	3	7	6	65	3	1
AL033528.2	1	6	7	74	0	29	9	7	9	6	0	1
PAQR7	48	11	15	21	1	29	6	30	4	4	41	27
STMN1	6214	7564	8078	16213	281	2122	301	864	525	9296	12294	6265
PAFAH2	584	489	557	480	10	239	23	133	59	72	347	258
EXTL1	0	0	1	7	0	0	0	0	3	2	0	1
SLC30A2	1	3	0	4	0	1	2	1	0	2	0	2
TRIM63	1	0	0	0	0	0	0	0	0	0	0	0
PDIK1L	245	292	279	296	18	128	14	61	37	88	173	96
FAM110D	1	1	3	3	0	1	0	1	1	0	1	1
C1orf232	0	0	5	1	0	2	0	0	0	0	0	0
AL391650.1	0	9	6	25	1	13	1	4	2	21	1	1
ZNF593	1193	2203	2134	4568	83	1592	254	915	543	1691	1795	877
CNKSR1	5	69	37	242	10	96	43	247	144	220	6	2
CATSPER4	0	0	1	2	0	0	0	0	0	0	0	0
CEP85	259	348	346	520	12	199	43	123	83	180	230	108
SH3BGRL3	52445	82496	78488	375686	4425	111616	7668	42751	33668	45783	79360	34529
UBXN11	1950	3156	3076	3199	118	1502	778	893	388	605	1966	1040
CD52	63540	43058	65123	61376	2326	12219	893	9629	3490	11219	156838	53588
CRYBG2	14	49	46	104	2	36	22	74	82	107	3	1
ZNF683	205	1863	1379	1929	269	349	47	71	27	370	22	8
LIN28A	0	2	3	4	0	2	2	0	1	1	0	0
DHDDS	547	815	775	1593	41	698	88	251	276	448	520	211
AL513365.2	1	3	1	0	0	0	0	1	0	0	0	0
HMGN2	16136	50477	41112	47520	1421	17982	1513	7160	5378	18575	20490	11083
RPS6KA1	2893	4083	3854	5353	133	2231	227	935	557	679	2620	1022
AL512408.1	1	9	5	12	0	3	2	2	2	10	0	2
ARID1A	2244	2119	1866	5491	119	2355	321	732	620	764	1460	836
PIGV	238	472	610	760	25	253	48	141	83	82	209	108
ZDHHC18	503	475	458	958	33	327	121	173	149	224	315	181
SFN	0	17	23	3739	5	147	317	4255	2998	2415	1	3
AL034380.1	0	0	0	0	0	0	0	0	0	0	0	0
GPN2	408	844	751	1341	25	410	74	216	151	312	526	222
GPATCH3	272	1025	781	1778	35	617	96	243	187	191	292	130
NUDC	2420	5412	5346	8862	304	3330	812	2004	1331	2498	3475	1805
NR0B2	0	0	1	3	0	1	0	0	0	0	0	0
KDF1	1	25	24	59	7	42	41	156	83	48	0	1
TRNP1	0	16	26	77	3	52	13	148	31	9	1	1
TENT5B	2	4	9	105	0	23	71	265	107	36	0	0
SLC9A1	882	1172	1296	1023	25	426	252	252	200	143	639	307
AL590640.1	0	0	0	0	0	0	0	0	0	0	0	0
WDTC1	333	694	684	853	34	451	82	314	203	224	291	155
TMEM222	573	1370	1260	1439	66	592	178	383	338	465	503	205
SYTL1	653	892	1055	1395	92	511	404	986	521	585	284	160
MAP3K6	102	230	206	452	14	284	45	218	97	76	99	18
FCN3	0	4	5	4	0	5	2	9	2	0	0	0
CD164L2	1	129	154	88	14	230	58	131	71	92	12	4
GPR3	0	0	0	11	0	5	3	4	0	3	0	0
WASF2	3409	8610	7102	17040	254	5758	750	2489	1055	2043	4407	2226
FO393419.2	0	2	1	0	0	0	0	0	0	1	0	0
BX293535.1	0	31	31	14	5	27	40	13	14	4	0	1
AHDC1	44	118	103	313	14	158	57	150	92	84	25	21
FGR	3464	6770	6514	29979	427	9866	1071	2842	1442	1881	3358	1859
LINC02574	5	9	2	45	0	28	7	7	10	9	2	4
IFI6	16547	198323	210000	207337	8201	72833	11944	35457	35164	17215	35515	12151
AL445490.1	0	12	7	15	0	8	2	5	3	0	0	0
FAM76A	897	621	538	1127	20	610	53	169	113	172	819	271
STX12	4012	5181	4685	7936	201	3202	354	1081	597	745	3232	1652
PPP1R8	501	715	589	1415	33	658	62	266	184	370	542	313
THEMIS2	2814	8831	7701	14965	239	4991	703	1601	1235	1015	3881	1504
RPA2	1161	1965	2014	2806	88	814	134	309	443	1007	1256	773
SMPDL3B	9	29	46	69	1	9	2	24	9	14	10	4
AL512288.1	0	2	0	0	0	1	0	1	1	0	0	0
XKR8	135	392	318	1166	21	364	37	214	102	134	98	54
EYA3	442	544	489	1243	27	523	91	228	125	309	329	205
PTAFR	1710	7773	7664	18792	212	8094	838	2020	1345	762	2180	1066
DNAJC8	3164	6388	5995	13457	331	6821	747	1589	1447	2414	5168	3092
ATP5IF1	5155	13259	13881	14667	666	6746	1729	3664	2200	4906	11118	6231
AL353622.1	92	88	100	54	6	80	14	18	26	31	36	16
AL353622.2	0	0	0	3	0	0	5	1	1	5	0	0
SESN2	414	571	520	1215	32	371	268	185	417	304	341	174
MED18	167	386	412	422	16	89	37	71	47	83	229	100
PHACTR4	1243	5188	3864	6922	190	3654	518	1427	809	619	815	509
RCC1	125	596	534	1350	55	456	277	441	428	676	165	120
TRNAU1AP	1053	1355	1380	3453	81	1129	290	464	526	909	861	425
SNHG12	1194	3356	3168	4117	152	1233	1718	929	1397	974	822	456
TAF12	1237	2176	1924	3710	100	1524	127	583	468	886	1534	809
RAB42	394	1368	911	1636	64	1219	107	327	317	152	529	278
LINC01715	16	28	34	59	0	10	6	9	2	20	35	24
AL360012.1	28	2	3	14	0	3	1	1	3	6	0	3
GMEB1	415	709	613	2248	34	645	78	254	192	326	356	164
YTHDF2	2317	3129	3038	5968	131	3037	268	1054	792	1329	2201	1101
OPRD1	0	0	0	0	0	2	0	1	0	2	1	0
AL009181.1	0	1	0	2	0	1	1	0	0	2	0	0
EPB41	374	1693	1462	2639	103	707	166	325	391	688	339	220
TMEM200B	0	2	0	6	0	8	5	37	6	4	0	0
AL357500.1	0	0	0	2	0	0	0	0	0	0	0	0
SRSF4	2596	5275	4403	11817	280	3937	540	1484	926	1781	1914	1150
MECR	477	673	766	594	18	193	29	151	89	213	723	382
AL590729.1	0	0	0	0	0	0	0	0	0	0	0	0
PTPRU	6	135	97	243	4	186	78	240	140	84	6	5
LINC01756	0	0	0	2	0	1	0	0	0	0	0	0
AC092265.1	0	0	0	0	0	0	0	0	0	1	0	0
AL645944.2	0	0	0	0	0	0	0	0	0	0	0	0
LINC01648	1	0	0	0	0	0	0	0	0	0	0	0
AL137076.1	6	2	2	0	0	0	0	0	0	0	7	3
AL161638.2	0	0	0	0	0	0	0	0	0	0	0	0
AL161638.1	0	0	0	0	0	0	0	0	0	0	0	0
MATN1	0	4	2	18	0	11	4	13	1	5	1	0
MATN1-AS1	26	45	33	69	2	27	31	10	36	19	14	6
LAPTM5	27396	67798	68354	118613	2619	41262	4849	15389	10312	8218	33045	15707
AL137027.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01778	0	0	1	0	0	1	7	2	0	1	1	3
AL445235.1	0	0	0	0	0	0	0	0	0	0	0	0
SDC3	89	1054	580	3557	51	3077	129	573	293	215	156	127
PUM1	2131	3590	2826	6043	124	2892	328	1003	591	635	1102	686
NKAIN1	0	19	48	45	1	57	2	6	32	2	1	0
SNRNP40	1128	2755	2548	3170	108	1267	136	489	383	1051	1318	538
ZCCHC17	862	2246	2094	2709	75	1074	119	425	330	662	1467	831
AL451070.1	0	0	0	1	0	0	0	0	0	2	0	0
FABP3	435	88	655	853	22	536	67	176	8	96	3613	344
SERINC2	833	966	1091	2560	67	922	255	1309	824	730	1096	273
AC114488.1	0	0	0	0	0	0	0	0	1	1	0	0
TINAGL1	9	6	12	153	5	15	9	276	180	89	3	6
HCRTR1	0	1	0	3	0	0	0	0	1	0	0	0
PEF1	799	3566	3151	4924	128	1441	290	921	672	913	1001	425
AC114488.2	0	6	8	14	0	10	4	2	7	4	0	0
AC114488.3	3	14	6	16	3	14	1	10	3	5	9	4
COL16A1	2	33	31	69	7	47	120	87	91	40	2	2
ADGRB2	0	1	8	27	0	20	16	40	9	8	1	0
AL354919.2	0	0	0	0	0	0	0	1	0	1	0	0
SPOCD1	1936	303	600	501	34	53	17	218	96	186	1897	266
AL354919.1	7	2	1	0	0	0	4	0	0	1	13	12
AL136115.2	39	1	6	15	1	8	0	1	3	6	15	11
PTP4A2	5741	6548	5196	11414	291	5728	558	2250	1871	3733	4957	2444
AL136115.1	0	0	0	1	0	0	0	0	0	1	0	0
AL136115.3	0	0	0	0	0	0	0	0	0	0	0	0
KHDRBS1	3614	7684	6382	18048	397	5723	522	2430	1376	3017	3115	1636
AL445248.1	5	4	2	11	0	7	2	1	0	1	2	2
TMEM39B	266	636	748	814	17	249	29	153	107	138	316	171
KPNA6	993	1737	1606	3052	75	1274	183	773	334	565	1144	645
TXLNA	706	1473	1234	3201	69	1152	148	596	294	610	587	272
CCDC28B	58	319	183	435	11	77	35	42	37	126	96	53
AL049795.1	10	5	7	7	0	6	3	7	1	3	6	2
IQCC	9	50	46	41	3	20	38	31	14	27	27	12
DCDC2B	1	200	277	48	26	165	88	66	25	23	10	11
TMEM234	335	652	614	986	30	548	101	235	139	179	371	161
EIF3I	2193	4541	4584	9619	234	2430	419	1508	996	2426	3766	1681
FAM167B	7	7	14	30	1	4	2	4	3	14	2	1
LCK	320	2365	2140	5917	299	577	124	294	842	1443	120	6
HDAC1	851	1475	1325	3098	87	886	135	577	350	921	916	441
MARCKSL1	112	2282	531	5308	152	2521	227	1630	745	747	204	38
AL109945.1	0	0	0	0	0	0	0	0	0	0	0	1
TSSK3	6	9	19	38	0	8	2	1	0	2	15	6
FAM229A	71	53	71	118	6	64	22	37	43	41	61	36
BSDC1	675	1439	1373	2300	76	890	188	456	386	457	869	485
AL033529.1	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB8B	1	2	3	6	0	2	7	1	2	1	0	2
ZBTB8A	163	117	156	96	2	50	25	53	30	49	111	75
ZBTB8OS	3606	4963	4962	7663	172	3338	355	761	728	1686	6361	4213
RBBP4	3481	4228	4086	6278	227	2582	307	1090	863	2032	4039	2164
SYNC	453	163	216	114	5	61	2	20	5	39	1190	691
AC114489.1	0	1	0	6	0	1	1	2	0	0	0	0
KIAA1522	70	550	333	820	44	724	182	1062	466	358	139	53
YARS	631	1623	1488	4298	110	1144	385	585	755	1473	442	244
S100PBP	765	856	750	1620	47	492	92	169	236	434	531	341
FNDC5	5	0	1	8	1	1	0	7	0	2	41	6
HPCA	0	1	0	1	0	1	0	1	1	1	0	0
TMEM54	5	34	28	377	11	151	46	535	276	194	10	8
RNF19B	698	2640	2234	16476	174	5548	779	2034	849	588	412	188
AL020995.1	0	5	2	3	0	2	0	1	1	1	0	0
AK2	1146	5803	4909	8497	212	3095	334	1876	958	1511	1493	660
AZIN2	14	104	95	116	15	43	52	32	10	11	13	6
TRIM62	45	115	89	208	7	94	7	40	24	32	36	13
AL662907.3	1	0	1	2	0	0	0	1	0	0	0	0
ZNF362	270	630	538	287	15	159	19	118	47	74	192	125
AL513327.3	3	0	0	1	0	2	0	0	0	0	4	5
A3GALT2	0	0	1	3	0	1	0	6	1	2	0	0
AL513327.1	1	1	2	2	0	3	0	0	2	5	0	0
PHC2	652	865	718	3415	38	1758	282	736	875	543	380	181
AL513327.2	0	0	1	0	0	0	0	0	0	1	3	0
ZSCAN20	18	76	62	113	2	62	15	21	21	19	11	6
CSMD2	0	2	0	5	0	0	0	0	0	0	1	1
HMGB4	0	0	0	0	0	0	0	0	0	0	0	0
CSMD2-AS1	0	0	0	1	0	0	0	0	0	0	0	0
C1orf94	0	0	0	0	0	0	0	0	0	0	0	0
SMIM12	877	2359	2106	7129	159	2663	252	1090	716	1061	1538	599
GJB5	0	16	11	77	2	30	10	236	48	57	0	2
GJB4	0	2	11	86	0	15	26	178	78	158	1	0
AL121988.1	0	0	0	0	0	0	0	0	0	0	0	0
GJB3	1	4	8	271	6	22	32	591	158	234	1	0
GJA4	0	11	3	16	1	4	1	5	0	4	0	0
AL122010.1	1	0	1	0	0	0	0	0	0	0	0	0
DLGAP3	13	22	22	146	3	69	5	42	25	40	7	5
AC114490.3	99	88	82	126	5	46	5	10	9	28	68	40
AC114490.2	188	129	112	105	5	47	8	19	7	20	488	302
TMEM35B	8	5905	6490	4489	234	2177	246	541	821	450	31	27
ZMYM6	754	650	582	827	34	476	60	138	98	178	507	367
ZMYM1	286	521	506	548	19	308	32	63	85	103	202	135
AL590434.1	0	6	9	11	3	15	1	8	5	3	0	0
SFPQ	4410	6196	4322	17187	319	6032	973	3122	1431	3705	2704	1333
ZMYM4	672	1583	1151	1348	42	856	92	366	220	258	526	339
ZMYM4-AS1	0	37	29	24	1	26	3	21	11	16	0	0
KIAA0319L	554	1675	1416	2758	69	1069	272	649	360	335	435	227
NCDN	107	351	301	778	24	227	37	294	132	154	98	46
AC004865.2	124	257	268	355	6	112	8	37	46	59	122	22
TFAP2E	39	33	31	104	2	36	5	15	11	12	24	9
PSMB2	2829	7414	7572	21887	351	8110	657	2560	2243	4276	4145	1886
C1orf216	264	539	409	955	33	358	37	139	64	85	198	84
CLSPN	64	298	213	2070	26	260	36	128	78	879	105	49
AL354864.1	0	0	0	0	0	1	0	1	0	0	0	0
AGO4	813	646	661	1917	55	866	122	219	176	198	465	344
AGO1	729	657	615	897	27	375	36	175	73	126	601	426
AL139286.2	8	1	3	3	0	3	0	0	0	5	11	3
AGO3	1699	1180	1105	2659	61	995	148	401	218	383	947	662
AL138787.2	0	9	5	42	1	7	0	5	8	4	0	0
TEKT2	0	226	262	155	42	273	328	156	104	48	14	6
ADPRHL2	786	3829	3105	6763	87	1529	396	982	510	672	1501	524
COL8A2	1117	537	645	617	14	325	28	81	15	24	452	341
TRAPPC3	1856	3880	3903	8533	166	2888	362	1588	1118	1580	3014	1456
MAP7D1	2058	4113	2973	10306	207	3662	598	1439	1188	1142	2307	989
THRAP3	2830	5683	4975	10759	318	3791	516	1337	980	2303	2527	1168
SH3D21	219	248	189	225	7	126	104	69	47	44	495	261
EVA1B	666	555	479	1208	24	477	112	167	155	142	732	392
AL591845.1	55	23	10	32	0	18	18	20	10	13	46	23
STK40	697	2222	1665	6468	107	2144	466	1007	544	736	854	361
LSM10	2083	6614	4543	8837	213	2609	284	1023	729	1238	3902	1743
OSCP1	55	280	447	204	31	292	147	290	93	125	127	80
MRPS15	2565	3053	3947	10059	150	2475	292	1921	647	2163	3972	2117
CSF3R	839	2954	2813	9450	116	3672	1215	1000	448	250	1444	719
AL596257.1	0	0	0	0	0	0	0	0	0	0	0	0
AC117945.2	0	0	0	1	0	0	0	0	0	0	0	0
AC117945.1	0	0	0	0	0	0	0	0	0	0	0	0
GRIK3	0	0	0	0	0	0	1	0	0	1	0	0
AL031430.1	0	0	0	0	0	0	0	0	0	0	0	0
AL353604.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01137	72	377	383	1021	20	224	50	88	51	44	91	41
ZC3H12A	171	1350	1055	4769	64	793	516	481	354	222	223	91
MEAF6	2400	3933	3544	5527	231	2706	466	1163	870	1501	2267	1180
SNIP1	356	578	468	1707	23	637	104	222	137	246	199	90
DNALI1	35	688	898	515	92	887	626	911	304	326	120	44
GNL2	636	1639	1678	2738	93	1049	156	539	251	523	812	450
RSPO1	0	0	0	0	0	0	0	0	0	0	0	0
C1orf109	206	320	298	326	8	133	29	78	37	129	177	95
CDCA8	43	189	143	743	11	86	13	46	20	745	49	32
EPHA10	0	0	0	4	0	2	2	4	1	2	0	0
MANEAL	31	18	38	107	2	18	3	21	10	35	13	11
AL929472.3	0	0	0	0	0	0	0	0	0	2	0	0
YRDC	270	391	359	1654	21	565	66	293	140	339	290	103
C1orf122	1609	1635	1447	10654	63	2478	635	1668	573	1402	2352	1035
MTF1	462	1406	1249	5516	42	1238	332	537	250	457	486	252
AL929472.2	2	1	0	0	0	1	0	0	0	0	1	1
INPP5B	401	444	341	469	24	147	26	43	68	105	240	147
SF3A3	1057	2804	2528	3269	109	1301	162	570	428	1025	1126	531
FHL3	441	1513	1496	3862	37	659	85	356	186	142	349	128
UTP11	797	1311	1163	2354	58	1048	110	384	297	642	1139	665
POU3F1	0	5	5	15	0	4	9	6	1	2	3	1
AL139158.2	1	0	0	1	0	2	1	3	0	1	0	0
AL139158.3	0	0	0	0	0	0	0	0	0	0	0	0
LINC01343	0	0	0	0	0	0	0	0	0	0	0	0
LINC01685	0	0	0	3	0	0	0	0	0	4	0	0
AL354702.2	0	0	0	0	0	0	0	0	0	2	0	0
RRAGC	1287	2104	1802	12165	122	5292	554	1219	859	777	1175	521
AL139260.1	117	154	203	674	9	306	88	72	44	65	97	55
MYCBP	660	1534	1199	1844	99	1060	142	478	251	514	1076	545
AL139260.3	6	0	0	0	0	3	0	1	0	2	1	2
GJA9	0	0	0	0	0	0	1	1	0	0	0	0
RHBDL2	5	17	22	68	9	46	12	181	89	98	3	4
AKIRIN1	1275	1779	1659	4604	100	1706	237	766	553	631	974	548
NDUFS5	11888	27465	19365	32291	962	13060	1131	6449	3458	6755	22412	10950
MACF1	1527	3026	2596	12707	265	4538	663	1519	1063	1495	751	504
AL442071.1	0	2	0	1	0	1	0	0	0	0	0	0
BMP8A	0	0	0	8	0	1	0	1	0	12	0	0
PABPC4	2693	3130	2749	7529	191	3781	852	1782	861	1695	3805	3742
AL365277.1	0	3	2	3	0	1	1	0	1	0	0	0
HEYL	7	16	14	6	1	10	1	3	1	1	1	6
AL035404.2	0	0	0	0	0	0	0	0	0	0	0	0
NT5C1A	0	0	2	0	0	0	0	0	0	0	0	0
HPCAL4	5	4	13	15	3	12	0	2	15	6	3	0
PPIE	1110	2098	2074	2259	93	1050	182	377	362	878	1378	578
BMP8B	7	32	19	22	1	25	4	9	8	107	6	2
OXCT2	2	2	1	19	0	5	10	5	8	70	1	0
AL033527.3	17	23	11	13	0	7	6	4	3	51	13	7
AL033527.5	14	34	13	49	1	52	16	8	12	28	15	5
AL033527.4	0	5	0	3	0	3	3	2	2	0	0	1
TRIT1	250	362	371	313	18	203	38	121	65	116	165	97
MYCL	56	69	37	185	8	97	32	156	90	42	20	6
AL033527.2	0	0	1	0	0	2	1	0	2	2	0	0
MFSD2A	85	302	266	1248	16	398	258	345	108	130	158	132
CAP1	13459	16252	15238	35056	693	13484	1324	4696	3260	5125	10905	4941
PPT1	10522	11856	17072	18243	434	6679	623	2209	1260	1217	8962	5899
RLF	357	865	750	1929	32	688	156	331	175	261	216	123
TMCO2	44	19	40	4	1	3	3	0	0	2	161	61
AL050341.2	66	233	204	357	17	130	41	46	28	120	77	38
ZMPSTE24	1882	1681	2115	3060	79	1307	124	628	341	854	1932	1098
COL9A2	159	875	661	169	11	76	49	100	51	39	283	153
SMAP2	1912	4695	3696	12414	149	3715	524	961	1259	1271	1512	936
AL031985.4	0	0	0	5	0	2	0	0	0	1	0	0
ZFP69B	18	91	39	26	1	14	4	8	4	17	19	23
ZFP69	46	139	117	109	7	58	4	28	15	38	38	23
AL603839.3	12	47	30	37	2	16	3	12	8	1	25	10
EXO5	120	258	278	322	8	157	25	56	48	68	159	93
AL603839.1	0	2	2	1	0	4	1	0	0	1	0	0
AL603839.2	0	1	1	0	0	0	1	0	0	0	0	0
ZNF684	154	593	417	687	15	293	72	95	97	90	176	82
RIMS3	8	36	24	131	2	40	4	22	16	18	5	2
AL031289.1	0	0	0	0	0	0	0	0	0	0	0	0
NFYC-AS1	58	60	47	252	4	88	19	33	13	34	16	7
NFYC	1027	2273	2044	4708	94	1651	241	760	574	961	735	338
KCNQ4	2	4	0	11	0	0	1	4	2	1	0	1
CITED4	86	86	78	333	6	115	123	290	165	81	56	19
AC119677.1	0	0	0	1	0	0	0	0	0	0	0	0
CTPS1	123	309	201	718	24	132	27	152	78	288	103	47
SLFNL1-AS1	7	3	4	9	0	2	1	2	0	3	3	1
SLFNL1	2	2	8	6	0	3	7	1	0	6	0	0
SCMH1	104	228	239	318	18	101	50	135	72	167	93	57
AC093151.3	0	0	3	2	0	0	1	0	0	0	0	3
FOXO6	5	2	1	5	0	6	2	4	5	2	1	4
AC093151.2	0	0	0	2	0	0	1	1	0	0	0	0
EDN2	0	15	49	340	0	5	5	7	946	457	0	0
HIVEP3	217	545	327	2415	44	1037	72	261	46	165	162	46
AL445933.2	0	0	0	0	0	0	0	0	0	0	0	0
AC119676.1	0	0	0	0	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	0	0	0	0	1	0	0	0
GUCA2A	0	0	0	2	0	0	0	0	0	0	0	0
FOXJ3	673	1040	857	2051	76	874	147	415	301	387	437	286
RIMKLA	4	4	12	7	0	14	3	18	6	10	2	2
ZMYND12	29	168	188	89	10	158	23	67	21	24	94	55
PPCS	3045	6423	5637	6613	193	2905	245	1276	775	1115	4098	1951
CCDC30	109	203	259	204	12	248	304	147	45	47	74	65
PPIH	770	2127	1965	3139	107	880	98	403	332	1087	1017	584
AC098484.2	6	3	3	3	0	1	0	2	0	1	6	2
YBX1	34873	52505	49319	116238	2138	33135	3510	19929	7424	19221	58712	30502
CLDN19	0	0	0	1	0	0	0	2	0	1	0	4
P3H1	380	653	668	1118	16	373	74	177	140	216	309	168
C1orf50	294	1017	930	1532	44	570	55	234	200	286	450	291
